icd_chapter,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Ch.I  Infectious & parasitic,128189.0,129023.0,136170.0,140945.0,138008.0,136555.0,145232.0,151753.0,162211.0,166373.0,172683.0,183316.0,201751.0,201423.0,351569.0,332128.0,351645.0,373369.0,402691.0,511062.0,481037.0,454701.0,264544.0,383769.0,389149.0,405751.0
Ch.II  Neoplasms,1344883.0,1417290.0,1416548.0,1414282.0,1446666.0,1458832.0,1493611.0,1595274.0,1645679.0,1687765.0,1759514.0,1815136.0,1855179.0,1939697.0,1984205.0,2075489.0,2155112.0,2261812.0,2358240.0,2393322.0,2484035.0,2572040.0,2073947.0,2530900.0,2662671.0,2816384.0
Ch.IV  Endocrine & metabolic,126236.0,128947.0,128149.0,128966.0,133683.0,140726.0,151876.0,167918.0,174265.0,185708.0,201988.0,216831.0,233035.0,235843.0,231924.0,239665.0,247241.0,261045.0,277745.0,290532.0,309946.0,328467.0,272356.0,334016.0,341720.0,372961.0
Ch.IX  Circulatory system,853905.0,846729.0,837594.0,829320.0,860850.0,862860.0,872366.0,897741.0,901923.0,906738.0,926461.0,934076.0,944114.0,949588.0,937963.0,952305.0,969783.0,1001933.0,925622.0,932154.0,947224.0,964163.0,799971.0,936556.0,922621.0,993424.0
Ch.V  Mental & behavioural,221462.0,209317.0,198288.0,196105.0,200978.0,190546.0,192870.0,187094.0,177991.0,169303.0,164982.0,174272.0,178474.0,180591.0,179165.0,178171.0,179305.0,176981.0,169349.0,169968.0,175879.0,171757.0,154608.0,154412.0,135563.0,140611.0
Ch.VI  Nervous system,202251.0,203435.0,204462.0,207405.0,216451.0,225632.0,235352.0,249496.0,258141.0,270959.0,69159.0,313001.0,322725.0,327598.0,330747.0,348655.0,366920.0,371092.0,373264.0,373243.0,376551.0,385177.0,286586.0,361465.0,361831.0,387928.0
Ch.VII/VIII  Eye & Ear,455291.0,453268.0,475539.0,478466.0,500156.0,525673.0,531467.0,531207.0,533116.0,588485.0,638952.0,663581.0,673258.0,666422.0,692110.0,735872.0,791448.0,798623.0,797064.0,774524.0,806846.0,845686.0,491491.0,831903.0,997822.0,1112460.0
Ch.X  Respiratory system,649087.0,628239.0,585199.0,599488.0,609120.0,649557.0,668005.0,694219.0,693255.0,701627.0,757003.0,754296.0,799249.0,782432.0,856021.0,852349.0,941282.0,984550.0,1035760.0,1061348.0,1094428.0,1125884.0,500108.0,809087.0,960776.0,1054030.0
Ch.XI  Digestive system,1132352.0,1153002.0,1144411.0,1127544.0,1167023.0,1167859.0,1210193.0,1306105.0,1382085.0,1484577.0,1589433.0,1675251.0,1730780.0,1818083.0,1768260.0,1842172.0,1928475.0,2033936.0,2147874.0,2145872.0,2258974.0,2301892.0,1592732.0,2138229.0,2214987.0,2345848.0
Ch.XII  Skin,237844.0,244299.0,250699.0,249493.0,260131.0,263886.0,264258.0,273371.0,268966.0,272917.0,289435.0,300831.0,301351.0,288253.0,284389.0,300944.0,316390.0,329776.0,347124.0,344522.0,365794.0,382182.0,254892.0,326935.0,356345.0,399877.0
Ch.XIII  Musculoskeletal,612541.0,618660.0,628406.0,630559.0,687845.0,730780.0,771601.0,834416.0,883272.0,970560.0,1077760.0,1126010.0,1163780.0,1180870.0,1187649.0,1260957.0,1321636.0,1331909.0,1357801.0,1308276.0,1305064.0,1258674.0,691740.0,1063285.0,1093323.0,1185879.0
Ch.XIV  Genitourinary,751225.0,757506.0,742879.0,720965.0,745010.0,748159.0,762064.0,814507.0,820662.0,830795.0,880349.0,916946.0,926967.0,908601.0,917779.0,929596.0,927913.0,928322.0,943901.0,894772.0,930993.0,923091.0,644199.0,823114.0,838450.0,908713.0
Ch.XIX  Injury & poisoning,11691204.0,11847188.0,11782191.0,11769542.0,12103151.0,12420166.0,12872299.0,13514932.0,13839153.0,14369128.0,15066952.0,15509846.0,15878771.0,16017269.0,968209.0,16467964.0,16905343.0,17267195.0,17558852.0,17650876.0,18194196.0,18268665.0,13685146.0,16950013.0,17317992.0,18528895.0
Ch.XV  Pregnancy & childbirth,1165250.0,1162464.0,1134453.0,1147695.0,1183348.0,1202998.0,1251641.0,1308697.0,1329122.0,1391710.0,1349505.0,1351898.0,1354242.0,1338056.0,1297090.0,1261040.0,1247770.0,1270286.0,1245431.0,1232986.0,1210033.0,1188131.0,1097339.0,1184162.0,1199569.0,1273807.0
Ch.XVI  Perinatal,166356.0,164884.0,156484.0,151234.0,150690.0,153655.0,157110.0,166620.0,178606.0,185732.0,199543.0,208239.0,211218.0,221280.0,228751.0,234380.0,243590.0,257023.0,265640.0,260568.0,250698.0,244878.0,228452.0,235864.0,230500.0,237697.0
Ch.XVII  Congenital,92135.0,92857.0,90214.0,90617.0,94766.0,95979.0,96983.0,101893.0,102593.0,109000.0,110997.0,116489.0,111050.0,111140.0,106949.0,109341.0,107143.0,105436.0,106562.0,103857.0,104073.0,97332.0,65496.0,88199.0,90794.0,97617.0
Ch.XVIII  Symptoms & signs,1188368.0,1239630.0,1349333.0,1338409.0,1323514.0,1415296.0,1500645.0,1505981.0,1518473.0,1561055.0,1698401.0,1665472.0,1693526.0,1665409.0,1658750.0,1681725.0,1690942.0,1687636.0,1716025.0,1748340.0,1929188.0,1857670.0,1517298.0,1780388.0,1727716.0,1907326.0
Ch.XXI  Health status factors,1014725.0,1002337.0,971292.0,970563.0,1006770.0,1009167.0,1026439.0,1056032.0,1083033.0,1107224.0,1126785.0,1149933.0,1202218.0,1206237.0,1164101.0,1121355.0,1092968.0,1062749.0,1064384.0,1049648.0,1030033.0,1021019.0,751639.0,875033.0,853218.0,900478.0
Other,,,,,,,,,,,,,,,2.0,6.0,8.0,9.0,5.0,7.0,4.0,13725.0,253696.0,151650.0,104145.0,50570.0
